Upgrade Name;Compartment;Bonus
Thusters;Engine Room;+10 Evasion
Sensors;Bridge;+5 Aim
Deflectors;Weapons;+1 Shield
Greenhouse;Labs;+5 Evasion
Regen Pod;Crew Quarters;+5 Aim
Escape Pod;Cargo;+1 Integrity
Generator;Engine Room;+1 Integrity
Cannons;Weapons;+10 Aim
Teleporter;Cargo;+1 Shield
Machine Shop;Labs;+5 Aim
Bio Locks;Crew Quarters;+1 Integrity
Nav System;Bridge;+5 Evasion
Tractor Beam;Bridge;+1 Integrity
Homing Beacon;Weapons;+1 Integrity
Smuggler Bin;Cargo;+10 Evasion
Life Scanner;Labs;+1 Integrity
Reactor;Engine Room;+1 Shield
Leisure Center;Crew Quarters;+5 Evasion
